unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_process_count,codex_rss_kib,mcp_process_count,mcp_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786204011.810043,651042816,689238016,19,1749520,18,1722276,0,0,353337344,265285632,29323264,8175616,12800000,0,7269200,1602176,5667024
1786204012.061866,652374016,689238016,19,1751372,18,1724128,0,0,355270656,265285632,29319168,8175616,12800000,0,7267464,1600424,5667040
1786204012.313447,652333056,689238016,19,1751372,18,1724128,0,0,355270656,265285632,29319168,8175616,12800000,0,7267464,1600424,5667040
1786204012.565682,652201984,689238016,19,1751372,18,1724128,0,0,355270656,265285632,29319168,8175616,12800000,0,7266960,1600424,5666536
1786204012.817230,652165120,689238016,19,1751372,18,1724128,0,0,355270656,265285632,29319168,8175616,12800000,0,7266960,1600424,5666536
1786204013.069135,652165120,689238016,19,1751372,18,1724128,0,0,355270656,265285632,29319168,8175616,12800000,0,7266960,1600424,5666536
1786204013.321380,652713984,689238016,19,1751556,18,1724312,0,0,355270656,265285632,29319168,8175616,12800000,0,7266960,1600424,5666536
1786204013.573139,652578816,689238016,19,1751600,18,1724352,0,0,355364864,265289728,29310976,8175616,12800000,0,7260528,1600424,5660104
1786204013.824813,652603392,689238016,19,1751696,18,1724448,0,0,355364864,265289728,29310976,8175616,12800000,0,7260528,1600424,5660104
1786204014.076618,651304960,689238016,19,1751780,18,1724532,0,0,355364864,265289728,29310976,8175616,12800000,0,7260528,1600424,5660104
1786204014.328175,652599296,689238016,19,1752196,18,1724948,0,0,355364864,265289728,29310976,8175616,12800000,0,7260528,1600424,5660104
1786204014.579871,653623296,689238016,19,1752700,18,1725452,0,0,356110336,265297920,29315072,8175616,12800000,0,7259576,1600424,5659152
1786204014.831543,653979648,689238016,19,1752888,18,1725640,0,0,356315136,265297920,29310976,8175616,12800000,0,7259576,1600424,5659152
1786204015.083359,654688256,689238016,19,1753208,18,1725960,0,0,356315136,265297920,29310976,8175616,12800000,0,7259576,1600424,5659152
1786204015.335240,706543616,707100672,23,1790204,18,1730544,3,12980,367792128,303218688,32051200,8536064,14110720,8192,8276224,1870064,6406160
1786204015.587451,706203648,708362240,27,1812372,18,1731328,4,22660,366800896,304054272,32862208,8568832,14897152,0,8275776,1820280,6455496
1786204015.839384,699432960,708362240,20,1778412,18,1732392,0,0,362491904,304070656,30171136,8470528,12972032,0,7619960,1724848,5895112
1786204016.091662,690339840,708362240,20,1772352,18,1726332,0,0,355049472,304107520,28999680,8470528,11833344,0,7593424,1734056,5859368
1786204016.343521,690864128,708362240,20,1772536,18,1726516,0,0,355049472,304107520,28999680,8470528,11833344,0,7593424,1734056,5859368
1786204016.595403,680701952,708362240,20,1763292,18,1717272,0,0,345772032,304107520,28934144,8470528,11767808,0,7587832,1733488,5854344
1786204016.848182,705740800,710524928,34,1845112,18,1726084,6,31632,362655744,304115712,35950592,9191424,15761408,0,9820480,1958952,7861528
1786204017.100250,696336384,717320192,23,1832632,18,1732132,0,0,357949440,304132096,31424512,9388032,12488704,16384,8398232,1763464,6634768
1786204017.352258,697946112,717320192,23,1834948,18,1734448,0,0,360181760,304132096,31105024,9388032,12271616,0,8300552,1759264,6541288
1786204017.604185,699887616,717320192,23,1837928,18,1734600,0,0,362496000,304181248,31117312,9388032,12283904,0,8295304,1755928,6539376
1786204017.856097,700424192,717320192,23,1838064,18,1734736,0,0,362496000,304181248,31117312,9388032,12283904,0,8295304,1755928,6539376
1786204018.108386,701046784,717320192,23,1838724,18,1735396,0,0,363311104,304201728,31125504,9388032,12283904,0,8299704,1764192,6535512
1786204018.360481,700235776,717320192,23,1838712,18,1735384,0,0,363311104,304201728,31125504,9388032,12283904,0,8299704,1764192,6535512
1786204018.612494,699789312,717320192,23,1838764,18,1735436,0,0,363352064,304201728,31117312,9388032,12283904,0,8297480,1761992,6535488
1786204018.864319,660586496,717320192,21,1647608,16,1544268,0,0,326029312,304209920,28348416,8519680,11055104,0,7739944,1747232,5992712
1786204019.116073,661061632,717320192,21,1647760,16,1544404,0,0,326029312,304209920,28348416,8519680,11055104,0,7739944,1747232,5992712
1786204019.368148,665989120,717320192,21,1652892,16,1546856,0,0,330682368,304222208,28348416,8536064,11067392,8192,7716512,1742696,5973816
1786204019.622313,665989120,717320192,21,1653020,16,1546984,0,0,330760192,304222208,28348416,8536064,11067392,4096,7720144,1742696,5977448
1786204019.874459,667377664,717320192,21,1655280,16,1549244,0,0,332931072,304230400,27480064,7979008,11022336,0,7442480,1742696,5699784
1786204020.126627,669491200,717320192,21,1655900,16,1549864,0,0,333434880,305811456,27529216,7979008,11022336,0,7499384,1800096,5699288
1786204020.378624,669831168,717320192,21,1656084,16,1550048,0,0,333533184,305815552,27525120,7979008,11022336,0,7496992,1797160,5699832
1786204020.630550,670212096,717320192,21,1658308,16,1552272,0,0,335900672,305815552,27525120,7979008,11026432,0,7496720,1797160,5699560
