unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_process_count,codex_rss_kib,mcp_process_count,mcp_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786204445.173532,594100224,647344128,19,1671780,18,1644724,0,0,335392768,228159488,27918336,7864320,12619776,0,6315208,911488,5403720
1786204445.425872,600436736,647344128,19,1688304,18,1661248,0,0,341450752,228220928,27942912,7864320,12632064,0,6318512,908944,5409568
1786204445.677643,601468928,647344128,19,1696712,18,1669656,0,0,342466560,228225024,28078080,7864320,12632064,16384,6458568,914184,5544384
1786204445.929517,605130752,647344128,19,1711924,18,1684860,0,0,345788416,228519936,27983872,7864320,12636160,16384,6376128,917448,5458680
1786204446.181267,608559104,647344128,19,1734744,18,1707656,0,0,348110848,229433344,28000256,7864320,12640256,24576,6367504,925552,5441952
1786204446.433232,608272384,647344128,19,1737912,18,1710820,0,0,348020736,229535744,27979776,7864320,12640256,0,6357264,924512,5432752
1786204446.685159,610914304,647344128,19,1740516,18,1713424,0,0,350556160,229535744,27979776,7864320,12644352,0,6357832,923472,5434360
1786204446.937052,610721792,647344128,19,1741588,18,1714496,0,0,350556160,229535744,27979776,7864320,12644352,0,6357832,923472,5434360
1786204447.189262,610611200,647344128,19,1741724,18,1714632,0,0,350736384,229535744,27979776,7864320,12644352,0,6357560,923472,5434088
1786204447.440739,611176448,647344128,19,1742172,18,1715080,0,0,350736384,229535744,27979776,7864320,12644352,0,6357560,923472,5434088
1786204447.692529,612261888,647344128,19,1743228,18,1716136,0,0,350736384,229535744,27979776,7864320,12644352,0,6357560,923472,5434088
1786204447.944259,613085184,647344128,19,1744288,18,1717188,0,0,352391168,229638144,28008448,7864320,12644352,4096,6361824,925816,5436008
1786204448.196220,614117376,647344128,19,1746244,18,1719144,0,0,354234368,229597184,27979776,7864320,12644352,0,6362976,926840,5436136
1786204448.448113,614072320,647344128,19,1746524,18,1719420,0,0,354287616,229597184,27979776,7864320,12644352,0,6362976,926840,5436136
1786204448.699916,614572032,647344128,19,1746976,18,1719872,0,0,354287616,229597184,27979776,7864320,12644352,0,6362976,926840,5436136
1786204448.951665,614547456,647344128,19,1747192,18,1720088,0,0,354287616,229597184,27979776,7864320,12644352,0,6362976,926840,5436136
1786204449.203438,614748160,647344128,19,1747388,18,1720284,0,0,355143680,229613568,27979776,7864320,12644352,0,6361496,925088,5436408
