unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_process_count,codex_rss_kib,mcp_process_count,mcp_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786203441.815159,191635456,198639616,3,217392,2,191200,0,0,47730688,136908800,5074944,1376256,1769472,12288,1788176,826272,961904
1786203442.065927,261754880,262017024,3,217172,2,190980,0,0,47513600,206487552,5689344,1376256,1769472,0,2396960,1437952,959008
1786203442.316732,330346496,330346496,3,217188,2,190996,0,0,47521792,274141184,6316032,1376256,1769472,0,3023624,2067248,956376
1786203442.567542,426266624,426266624,3,217216,2,191024,0,0,47550464,369123328,6893568,1376256,1769472,0,3594280,2634976,959304
1786203442.818252,522625024,522641408,3,217228,2,191036,0,0,47562752,464916480,7573504,1376256,1769472,0,4282768,3324064,958704
1786203443.069283,568033280,568885248,3,217332,2,190948,0,0,47603712,510705664,7397376,1064960,1769472,0,4425904,3603912,821992
1786203443.320083,567963648,568885248,3,217324,2,190940,0,0,47603712,510705664,7397376,1064960,1769472,0,4425904,3603912,821992
1786203443.571043,567619584,568885248,3,217324,2,190940,0,0,47595520,510705664,7389184,1064960,1769472,0,4425632,3603912,821720
1786203443.821714,567447552,568885248,3,217440,2,190940,0,0,47714304,510705664,7385088,1064960,1769472,0,4425632,3603912,821720
1786203444.072726,566767616,568885248,3,217440,2,190940,0,0,47714304,510705664,7385088,1064960,1769472,0,4425632,3603912,821720
1786203444.323712,566767616,568885248,3,217440,2,190940,0,0,47714304,510705664,7385088,1064960,1769472,0,4425632,3603912,821720
1786203444.574588,566693888,568885248,3,217440,2,190940,0,0,47714304,510705664,7385088,1064960,1769472,0,4425632,3603912,821720
1786203444.825217,566624256,568885248,3,217440,2,190940,0,0,47714304,510705664,7385088,1064960,1769472,0,4420512,3611016,809496
1786203445.076038,566452224,568885248,3,217440,2,190940,0,0,47714304,510705664,7385088,1064960,1769472,0,4420512,3611016,809496
1786203445.327000,566452224,568885248,3,217440,2,190940,0,0,47714304,510705664,7385088,1064960,1769472,0,4420512,3611016,809496
1786203445.577943,566300672,568885248,3,217440,2,190940,0,0,47714304,510705664,7385088,1064960,1769472,0,4420512,3611016,809496
1786203445.828766,566108160,568885248,3,217440,2,190940,0,0,47714304,510705664,7385088,1064960,1769472,0,4420512,3611016,809496
1786203446.079432,566108160,568885248,3,217440,2,190940,0,0,47714304,510705664,7385088,1064960,1769472,0,4420512,3611016,809496
1786203446.330349,566108160,568885248,3,217440,2,190940,0,0,47714304,510705664,7385088,1064960,1769472,0,4420512,3611016,809496
1786203446.581307,565805056,568885248,3,217440,2,190940,0,0,47714304,510705664,7385088,1064960,1769472,0,4420512,3611016,809496
1786203446.832076,565805056,568885248,3,217440,2,190940,0,0,47714304,510705664,7385088,1064960,1769472,0,4420512,3611016,809496
