unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786202660.338332,2147282944,2188410880,9,1007080,72364,847523840,672522240,583815168,1966080,6463488,4096,4211416,2614472,1596944
1786202660.589595,2130903040,2188410880,9,1191324,67196,1042329600,549822464,529825792,1966080,6782976,4096,4056904,2459960,1596944
1786202660.840783,1093238784,2188410880,9,365072,62668,187797504,385634304,480194560,1933312,5738496,4096,3623120,1998664,1624456
1786202661.091988,1066938368,2188410880,9,302180,73896,132521984,421756928,474775552,1982464,4894720,12288,3759008,2150152,1608856
1786202661.343471,1067204608,2188410880,9,304408,74328,133033984,421756928,474750976,1982464,4894720,8192,3762744,2151808,1610936
1786202661.594802,1454813184,2188410880,9,513896,73880,347787264,591032320,445874176,1966080,5324800,4096,4205472,2602712,1602760
1786202661.846025,1801035776,2188410880,9,730600,73684,569978880,712327168,407044096,1966080,5754880,4096,4260288,2660536,1599752
1786202662.097211,2147524608,2188410880,9,1135100,72116,985399296,639635456,373628928,1966080,6569984,4096,4257048,2662312,1594736
1786202662.349560,1607823360,2188410880,9,860072,71568,696709120,385785856,336236544,2277376,6160384,4096,3828512,2053224,1775288
1786202662.600924,1075429376,2188410880,9,300936,72320,135622656,416366592,334712832,1982464,4882432,4096,3873280,2278088,1595192
1786202662.852263,1076269056,2188410880,9,303052,72828,136294400,416366592,334684160,1982464,4886528,8192,3881952,2278488,1603464
1786202663.103520,1417736192,2188410880,9,503620,72708,341692416,550436864,309002240,1966080,5296128,4096,4001896,2415240,1586656
1786202663.355040,1755222016,2188410880,9,758064,77576,603348992,627236864,272543744,1966080,5783552,4096,4310160,2677256,1632904
1786202663.606376,2147463168,2188410880,9,1138356,75736,993947648,625541120,235757568,1556480,6471680,4096,4309376,2885048,1424328
1786202663.857423,1188438016,2188410880,9,478648,75028,306982912,344436736,200118272,1523712,5627904,4096,3575728,2123416,1452312
